name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Allen, Elnora, 1949-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Ethelene McCabe, 1934-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, F. Bruce."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, George Nelson, 1812-1877."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Henry R."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Howard."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, James S."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Jan, 1935-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Kimberly (Kim)."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Leonard Gleason."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Matthew Hicks."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Michael."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Nathan H. (Nathan Hale), 1848-1925."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Norman."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Novella."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Pamela Parker, 1943-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Richard Gregory."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Risden T."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Ruth Ellis."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Sally Anderson."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, T. Frank."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Thos. S., 1876-1919."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
