name	name_type	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Alvaredo, A.M."	personal				NCSU	Dspace	1840.20/8
"Alvarenga, M.A.B."	personal				NCSU	Dspace	1840.20/8
"Alvarez, Eugenio M."	personal				NCSU	Dspace	1840.20/8
"Alvarez, L.M."	personal				NCSU	Dspace	1840.20/8
"Al-Zubidy, Ahmed"	personal				NCSU	Dspace	1840.20/8
"Amada, K."	personal				NCSU	Dspace	1840.20/8
"Amamoto, Amy E. B."	personal				NCSU	Dspace	1840.20/8
"Amara, Ingrid Ann"	personal				NCSU	Dspace	1840.20/8
"Amara, Roy"	personal				NCSU	Dspace	1840.20/8
"Amaral Netto, J.D."	personal				NCSU	Dspace	1840.20/8
"Amatya, D. M."	personal				NCSU	Dspace	1840.20/8
"Ambriashvili, Y.K."	personal				NCSU	Dspace	1840.20/8
"Ambriashvily, Yu. C."	personal				NCSU	Dspace	1840.20/8
"Ambrosini, R.D."	personal				NCSU	Dspace	1840.20/8
"Amein, Michael"	personal				NCSU	Dspace	1840.20/8
"Amer, Paul D."	personal				NCSU	Dspace	1840.20/8
"Amerson, Henry"	personal				NCSU	Dspace	1840.20/8
"Amiez, G."	personal				NCSU	Dspace	1840.20/8
"Amladi, Peter"	personal				NCSU	Dspace	1840.20/8
"Ammann, Cheryl A."	personal				NCSU	Dspace	1840.20/8
"Ammar, Mostafa H."	personal				NCSU	Dspace	1840.20/8
"Ammirato, F."	personal				NCSU	Dspace	1840.20/8
"Amoozegar, Aziz"	personal				NCSU	Dspace	1840.20/8
"Amster, Sigmund"	personal				NCSU	Dspace	1840.20/8
"Amyot, Joseph Roge"	personal				NCSU	Dspace	1840.20/8
"An, Chae Hun"	personal				NCSU	Dspace	1840.20/8
"Anand, Suraj"	personal				NCSU	Dspace	1840.20/8
"Anand, Suraj P."	personal				NCSU	Dspace	1840.20/8
"Anandalingam, G."	personal				NCSU	Dspace	1840.20/8
"Anantaraman, Aravindh"	personal				NCSU	Dspace	1840.20/8
"Anbalagan, Prasanth"	personal				NCSU	Dspace	1840.20/8
"Ancker, C. J., Jr."	personal				NCSU	Dspace	1840.20/8
"Andersen, S. L."	personal				NCSU	Dspace	1840.20/8
"Anderson, David R."	personal				NCSU	Dspace	1840.20/8
"Anderson, H. A., Jr."	personal				NCSU	Dspace	1840.20/8
"Anderson, J. Wayne"	personal				NCSU	Dspace	1840.20/8
"Anderson, Jill"	personal				NCSU	Dspace	1840.20/8
"Anderson, John S."	personal				NCSU	Dspace	1840.20/8
"Anderson, Kenneth R."	personal				NCSU	Dspace	1840.20/8
"Anderson, Linda K."	personal				NCSU	Dspace	1840.20/8
"Anderson, M. J."	personal				NCSU	Dspace	1840.20/8
"Anderson, R. L."	personal				NCSU	Dspace	1840.20/8
"Anderson, Richard"	personal				NCSU	Dspace	1840.20/8
"Anderson, Robert O."	personal				NCSU	Dspace	1840.20/8
"Anderson, Scott D."	personal				NCSU	Dspace	1840.20/8
"Andersson,   Stig A."	personal				NCSU	Dspace	1840.20/8
"Andersson, Michael"	personal				NCSU	Dspace	1840.20/8
"Andersson, Per"	personal				NCSU	Dspace	1840.20/8
"Andert, Ed"	personal				NCSU	Dspace	1840.20/8
"Ando, K."	personal				NCSU	Dspace	1840.20/8
"Ando, Kotoji"	personal				NCSU	Dspace	1840.20/8
"Ando, T."	personal				NCSU	Dspace	1840.20/8
"Andrade, A.H.P."	personal				NCSU	Dspace	1840.20/8
"Andrade, Carmen"	personal				NCSU	Dspace	1840.20/8
"Andrade, Dalton F."	personal				NCSU	Dspace	1840.20/8
"Andradottir, S."	personal				NCSU	Dspace	1840.20/8
"Andradottir, Sigrun"	personal				NCSU	Dspace	1840.20/8
"Andreoni, S."	personal				NCSU	Dspace	1840.20/8
"Andres-Toro, Bonifacio"	personal				NCSU	Dspace	1840.20/8
"Sherry, Andrew H."	personal				NCSU	Dspace	1840.20/8
"Murphy, Andrew J."	personal				NCSU	Dspace	1840.20/8
"Andrew, John"	personal				NCSU	Dspace	1840.20/8
"Andrews, Andrew"	personal				NCSU	Dspace	1840.20/8
"Andrews, Barbara"	personal				NCSU	Dspace	1840.20/8
"Andrews, G. L."	personal				NCSU	Dspace	1840.20/8
"Andrews, Matthew"	personal				NCSU	Dspace	1840.20/8
"Andrews, Richard"	personal				NCSU	Dspace	1840.20/8
"Andrews, Richard W."	personal				NCSU	Dspace	1840.20/8
"Andrieu, R."	personal				NCSU	Dspace	1840.20/8
"Andrieux, S."	personal				NCSU	Dspace	1840.20/8
"Androdottir, Sigrun"	personal				NCSU	Dspace	1840.20/8
"Andrus, Alvin F."	personal				NCSU	Dspace	1840.20/8
"Andrus, Newton W."	personal				NCSU	Dspace	1840.20/8
"Aneja, Viney P."	personal				NCSU	Dspace	1840.20/8
"Ang, A.H-S."	personal				NCSU	Dspace	1840.20/8
"Ang. A. H-S., Leon"	personal				NCSU	Dspace	1840.20/8
"Angel, Michael"	personal				NCSU	Dspace	1840.20/8
"Angelides, Demos C."	personal				NCSU	Dspace	1840.20/8
"Angelides, M. C."	personal				NCSU	Dspace	1840.20/8
"Angelides, Marios C."	personal				NCSU	Dspace	1840.20/8
"Angles, Jean"	personal				NCSU	Dspace	1840.20/8
"Angulo, Irma"	personal				NCSU	Dspace	1840.20/8
"Anh Vo, T."	personal				NCSU	Dspace	1840.20/8
"Anikovsky, V."	personal				NCSU	Dspace	1840.20/8
"Anikovsky, V.V."	personal				NCSU	Dspace	1840.20/8
"Ankener, Richard A."	personal				NCSU	Dspace	1840.20/8
"Annaka, T."	personal				NCSU	Dspace	1840.20/8
"Anselmo, Peter C."	personal				NCSU	Dspace	1840.20/8
"Antaki, George"	personal				NCSU	Dspace	1840.20/8
"Anthony, T. Renee"	personal				NCSU	Dspace	1840.20/8
"Antille, Gerard"	personal				NCSU	Dspace	1840.20/8
"Antle, Susan H."	personal				NCSU	Dspace	1840.20/8
"Kaneva, Antoaneta"	personal				NCSU	Dspace	1840.20/8
"Anton, Ana I."	personal				NCSU	Dspace	1840.20/8
"Antonelli, Charles J."	personal				NCSU	Dspace	1840.20/8
"Lo Conte, Antonietta"	personal				NCSU	Dspace	1840.20/8
"Aoi, Mikio"	personal				NCSU	Dspace	1840.20/8
"Aoki, S."	personal				NCSU	Dspace	1840.20/8
"Aoki, Shigeru"	personal				NCSU	Dspace	1840.20/8
"Aoki, T."	personal				NCSU	Dspace	1840.20/8
"Aoki, Toshiharu"	personal				NCSU	Dspace	1840.20/8
"Aonuevo, Rowena"	personal				NCSU	Dspace	1840.20/8
"Aoto, K."	personal				NCSU	Dspace	1840.20/8
"Aoyagi, T."	personal				NCSU	Dspace	1840.20/8
"Aoyagi, Y."	personal				NCSU	Dspace	1840.20/8
"Aoyagi, Yukio"	personal				NCSU	Dspace	1840.20/8
"Aoyama, Hiroyuki"	personal				NCSU	Dspace	1840.20/8
"Aoyama, Takafumi"	personal				NCSU	Dspace	1840.20/8
"Aparicio, Manuel"	personal				NCSU	Dspace	1840.20/8
"Apperson, Charles S."	personal				NCSU	Dspace	1840.20/8
"Appino, Perry A."	personal				NCSU	Dspace	1840.20/8
"Aquaro, Donato"	personal				NCSU	Dspace	1840.20/8
"Aquino, C.T.E."	personal				NCSU	Dspace	1840.20/8
"Arai, H."	personal				NCSU	Dspace	1840.20/8
"Arai, K."	personal				NCSU	Dspace	1840.20/8
"Arai, T."	personal				NCSU	Dspace	1840.20/8
"Arakelian, F."	personal				NCSU	Dspace	1840.20/8
"Arantes, Jose C."	personal				NCSU	Dspace	1840.20/8
"Arasakesari, Subramaniam"	personal				NCSU	Dspace	1840.20/8
"Araten, Michael"	personal				NCSU	Dspace	1840.20/8
"Aravindan, P.K."	personal				NCSU	Dspace	1840.20/8
"Arbogast, Tiera"	personal				NCSU	Dspace	1840.20/8
"Ardalan, Sasan H."	personal				NCSU	Dspace	1840.20/8
"Ardillon, E."	personal				NCSU	Dspace	1840.20/8
"Arduino, M."	personal				NCSU	Dspace	1840.20/8
"Arellano-Valle, Reinaldo B."	personal				NCSU	Dspace	1840.20/8
"Arfken, Ann M."	personal				NCSU	Dspace	1840.20/8
"Argilaguet, Jordi"	personal				NCSU	Dspace	1840.20/8
"Arhipov, Sergey B."	personal				NCSU	Dspace	1840.20/8
"Arhonditsis, George B."	personal				NCSU	Dspace	1840.20/8
"Silde, Ari"	personal				NCSU	Dspace	1840.20/8
"Saarenheimo, Arja"	personal				NCSU	Dspace	1840.20/8
"Armacost, L.L."	personal				NCSU	Dspace	1840.20/8
"Armacost, R."	personal				NCSU	Dspace	1840.20/8
"Armentano, R."	personal				NCSU	Dspace	1840.20/8
"Armentano, R. L."	personal				NCSU	Dspace	1840.20/8
"Armour, Frank"	personal				NCSU	Dspace	1840.20/8
"Armstrong (Chair), F. Bradley"	personal				NCSU	Dspace	1840.20/8
"Armstrong, Brad"	personal				NCSU	Dspace	1840.20/8
"Armstrong, F. Bradley"	personal				NCSU	Dspace	1840.20/8
"Armstrong, F. Bradley, IV"	personal				NCSU	Dspace	1840.20/8
"Armstrong, F.B."	personal				NCSU	Dspace	1840.20/8
"Armstrong, Gerald R."	personal				NCSU	Dspace	1840.20/8
"Armstrong, J.S."	personal				NCSU	Dspace	1840.20/8
"Armstrong, James"	personal				NCSU	Dspace	1840.20/8
"Arnason, A. Neil"	personal				NCSU	Dspace	1840.20/8
"Arnder, L. L."	personal				NCSU	Dspace	1840.20/8
"Arndt, E.G."	personal				NCSU	Dspace	1840.20/8
"Arnoff, E. Leonard"	personal				NCSU	Dspace	1840.20/8
"Arnold, Andrea"	personal				NCSU	Dspace	1840.20/8
"Arnold, J. Tim"	personal				NCSU	Dspace	1840.20/8
"Arnold, Steven F."	personal				NCSU	Dspace	1840.20/8
"Arrigan, John M."	personal				NCSU	Dspace	1840.20/8
"Arrott, Matthew"	personal				NCSU	Dspace	1840.20/8
"Arrow, K. J."	personal				NCSU	Dspace	1840.20/8
"Arsovski, M."	personal				NCSU	Dspace	1840.20/8
"Ware, Arthur G."	personal				NCSU	Dspace	1840.20/8
"Arthur, J.D."	personal				NCSU	Dspace	1840.20/8
"Arthur, James D."	personal				NCSU	Dspace	1840.20/8
"Artimovich, E."	personal				NCSU	Dspace	1840.20/8
"Artis, H. Pat"	personal				NCSU	Dspace	1840.20/8
"Arumugam, Sankar"	personal				NCSU	Dspace	1840.20/8
"Arumugam, Sankarasubramanian"	personal				NCSU	Dspace	1840.20/8
"Arumugham, Thangam"	personal				NCSU	Dspace	1840.20/8
"Arutyunyan, R.V."	personal				NCSU	Dspace	1840.20/8
"Arvidsson, Ake"	personal				NCSU	Dspace	1840.20/8
"Arweiler, Sabine"	personal				NCSU	Dspace	1840.20/8
"Asada, Y."	personal				NCSU	Dspace	1840.20/8
"Asadi-Arbabi, Abbas"	personal				NCSU	Dspace	1840.20/8
"Asakura, S."	personal				NCSU	Dspace	1840.20/8
"Asano, M."	personal				NCSU	Dspace	1840.20/8
"Asano, S."	personal				NCSU	Dspace	1840.20/8
"Kato, Asao"	personal				NCSU	Dspace	1840.20/8
"Asao, K."	personal				NCSU	Dspace	1840.20/8
"Asata, Eduardo P."	personal				NCSU	Dspace	1840.20/8
"Asayama, T."	personal				NCSU	Dspace	1840.20/8
"Asayama, Tai"	personal				NCSU	Dspace	1840.20/8
"Asega, H."	personal				NCSU	Dspace	1840.20/8
"Asfura, A.P."	personal				NCSU	Dspace	1840.20/8
"Asgharzadeh Talebi, Z."	personal				NCSU	Dspace	1840.20/8
"Talebi, Zohreh Asgharzadeh"	personal				NCSU	Dspace	1840.20/8
"Ash, Charles William"	personal				NCSU	Dspace	1840.20/8
"Ashar, Hansraj"	personal				NCSU	Dspace	1840.20/8
"Ashar, V. G."	personal				NCSU	Dspace	1840.20/8
"Ashari, Alireza Esna"	personal				NCSU	Dspace	1840.20/8
"Ashtaputre, Sunil"	personal				NCSU	Dspace	1840.20/8
"Askins, Aaron"	personal				NCSU	Dspace	1840.20/8
"Asprey, Peter L."	personal				NCSU	Dspace	1840.20/8
"Assakul, K."	personal				NCSU	Dspace	1840.20/8
"Assarabowski, Richard J."	personal				NCSU	Dspace	1840.20/8
"Assink, R.A."	personal				NCSU	Dspace	1840.20/8
"Assire, Aimery"	personal				NCSU	Dspace	1840.20/8
"Assis, G.M.V."	personal				NCSU	Dspace	1840.20/8
"Assmus, E. R., Jr."	personal				NCSU	Dspace	1840.20/8
"Ast, Karen"	personal				NCSU	Dspace	1840.20/8
"Asta, E.P."	personal				NCSU	Dspace	1840.20/8
