name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
Alker, Alisa P	personal		Creator			UNCCH	CDR	
Alker, Alisa P.	personal		Creator			UNCCH	CDR	
Alkhader, Mustafa	personal		Creator			UNCCH	CDR	
Al-Khasawneh, Esra	personal		Thesis advisor			UNCCH	CDR	
Alkon, Abbey	personal		Creator			UNCCH	CDR	
Alkons Wolinsky, Ruth Frances	personal		Creator			UNCCH	CDR	
Alkoutami, Sandy	personal		Creator			UNCCH	CDR	
Allaire, Maura	personal		Creator			UNCCH	CDR	
Allali, Imane	personal		Creator			UNCCH	CDR	
Allan, Aaron, ICA	personal		Composer			UNCCH	CDR	
Allan, Mark	personal		Creator			UNCCH	CDR	
Allan, Mark F	personal		Creator			UNCCH	CDR	
Allan, Skye	personal		Creator			UNCCH	CDR	
