name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Bartlett, R. B."	personal					ECU	Symphony	NCPersName
"Barton, Lew"	personal					ECU	Symphony	NCPersName
"Bass, Turner Cheshire, 1906-"	personal					ECU	Symphony	NCPersName
"Bassett, Thomas (Bookseller)"	personal					ECU	Symphony	NCPersName
"Bassford, Ronald Andrew"	personal					ECU	Symphony	NCPersName
"Bates, Morgan"	personal					ECU	Symphony	NCPersName
"Bates, William Carnes, 1838-1910"	personal					ECU	Symphony	NCPersName
"Bathanti, Joseph"	personal					ECU	Symphony	NCPersName
"Batson, Jon"	personal					ECU	Symphony	NCPersName
"Batson, Nellie Mae"	personal					ECU	Symphony	NCPersName
"Batterham, Rose"	personal					ECU	Symphony	NCPersName
"Battestin, Ruthe R."	personal					ECU	Symphony	NCPersName
"Battle, Amos Johnston, 1805-1870"	personal					ECU	Symphony	NCPersName
"Battle, H. B. (Herbert Bemerton), 1862-1929"	personal					ECU	Symphony	NCPersName
"Battle, Jesse Mercer, 1850-"	personal					ECU	Symphony	NCPersName
"Battle, Kemp P. (Kemp Plummer), 1831-1919"	personal					ECU	Symphony	NCPersName
"Battle, Laura Elizabeth Lee"	personal					ECU	Symphony	NCPersName
"Battle, Margaret Hearne Parker, -1887"	personal					ECU	Symphony	NCPersName
"Battle, Richard H. (Richard Henry), 1835-1912"	personal					ECU	Symphony	NCPersName
"Battle, William H. (William Horn), 1802-1879"	personal					ECU	Symphony	NCPersName
"Bauer, Margaret Donovan, 1963-"	personal					ECU	Symphony	NCPersName
"Baxter, Richard, 1615-1691"	personal					ECU	Symphony	NCPersName
"Bayha, Irene Catherine"	personal					ECU	Symphony	NCPersName
"Bayliss, Lilian"	personal					ECU	Symphony	NCPersName
"Beadle, Chauncey D. (Chauncey Delos), 1866-1950"	personal					ECU	Symphony	NCPersName
"Beale, Maria, 1849-"	personal					ECU	Symphony	NCPersName
"Beam, Jeffery, 1953-"	personal					ECU	Symphony	NCPersName
"Beaman, Joyce Proctor"	personal					ECU	Symphony	NCPersName
"Bearden, Romare, 1911-1988"	personal					ECU	Symphony	NCPersName
"Beasley, C. Oscar (Charles Oscar)"	personal					ECU	Symphony	NCPersName
"Beasley, Ernest"	personal					ECU	Symphony	NCPersName
"Beasley, R. F."	personal					ECU	Symphony	NCPersName
"Beattie, Sara Smith"	personal					ECU	Symphony	NCPersName
"Beatty, John Louis, 1922-1975"	personal					ECU	Symphony	NCPersName
"Beatty, John, 1828-1914"	personal					ECU	Symphony	NCPersName
"Beatty, Patricia, 1922-1991"	personal					ECU	Symphony	NCPersName
"Beatty, Robert, 1963-"	personal					ECU	Symphony	NCPersName
