name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	Institution	source_system	collection	source					
North Carolina State University -- Football -- History	corporate					NCSU	ArchivesSpace		lcnaf					
Piedmont and Northern Railway Company	corporate				http://lccn.loc.gov/n85137058	NCSU	ArchivesSpace		lcnaf					
Reading Company	corporate				http://lccn.loc.gov/n85334062	NCSU	ArchivesSpace		lcnaf					
Rio Grande Railroad Company	corporate					NCSU	ArchivesSpace		local					
"Chicago, Rock Island, and Pacific Railroad Company (1948- )"	corporate				http://lccn.loc.gov/n80040260	NCSU	ArchivesSpace		lcnaf					
Rutland Railway Corporation	corporate				http://lccn.loc.gov/n91057612	NCSU	ArchivesSpace		lcnaf					
"Atchison, Topeka, and Santa Fe Railroad Company"	corporate				http://lccn.loc.gov/n50073885	NCSU	ArchivesSpace		lcnaf					
Soo Line Corporation	corporate				http://lccn.loc.gov/n85034411	NCSU	ArchivesSpace		lcnaf					
Southern Pacific Railroad Company	corporate				http://lccn.loc.gov/n85266213	NCSU	ArchivesSpace		lcnaf					
Southern Railway (U.S.)	corporate				http://lccn.loc.gov/n84038980	NCSU	ArchivesSpace		lcnaf					
"Spokane, Portland, and Seattle Railway"	corporate				http://lccn.loc.gov/n90649934	NCSU	ArchivesSpace		lcnaf					
Leopold Wildlife Club	corporate					NCSU	ArchivesSpace		local					
St. Louis-San Francisco Railway Company	corporate				http://lccn.loc.gov/n81076961	NCSU	ArchivesSpace		lcnaf					
Texas & Pacific Railway	corporate				http://lccn.loc.gov/n85188664	NCSU	ArchivesSpace		lcnaf					
Union Pacific Railroad Company	corporate				http://lccn.loc.gov/n81029000	NCSU	ArchivesSpace		lcnaf					
Virginian Railway	corporate				http://lccn.loc.gov/n85229805	NCSU	ArchivesSpace		lcnaf					
Wabash Railroad	corporate				http://lccn.loc.gov/n85229876	NCSU	ArchivesSpace		lcnaf					
Western Maryland Railroad Company	corporate				http://lccn.loc.gov/n81068884	NCSU	ArchivesSpace		lcnaf					
Atlantic Bank and Trust	corporate					NCSU	ArchivesSpace		local					
North Carolina. Division of Archives and History	corporate				http://lccn.loc.gov/n79047572	NCSU	ArchivesSpace		lcnaf					
North Carolina Buildings Collection	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Fisheries and Wildlife Sciences Program	corporate					NCSU	ArchivesSpace		local					
North Carolina Farm Bureau Collection	corporate					NCSU	ArchivesSpace		local					
North Carolina Research Campus	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. Department of Agricultural Economics	corporate				http://lccn.loc.gov/n82165012	NCSU	ArchivesSpace		lcnaf					
North Carolina State College. Department of Animal Industry	corporate				http://lccn.loc.gov/no96006458	NCSU	ArchivesSpace		lcnaf					
United States. Department of the Air Force -- Publications	corporate					NCSU	ArchivesSpace		lcnaf					
United States. Air Force -- Publications	corporate					NCSU	ArchivesSpace		local					
"United States. Air Force. Fighter Squadron, 362nd"	corporate					NCSU	ArchivesSpace		local					
North Carolina College of Agriculture and Mechanic Arts -- Alumni and alumnae	corporate					NCSU	ArchivesSpace		lcnaf					
Association of Veterinarians for Animal Rights	corporate				http://lccn.loc.gov/n90646825	NCSU	ArchivesSpace		lcnaf					
American Heritage Center	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Department of Statistics -- History	corporate					NCSU	ArchivesSpace		lcnaf					
North Carolina College of Agriculture and Mechanic Arts -- Students -- Photographs	corporate					NCSU	ArchivesSpace		lcnaf					
North Carolina State College -- Professional employees	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. Student Supply Stores	corporate					NCSU	ArchivesSpace		local					
NC STAR Storage Ring Project	corporate					NCSU	ArchivesSpace		local					
Republican Party (U.S. : 1854- )	corporate				http://lccn.loc.gov/n80067040	NCSU	ArchivesSpace		lcnaf					
"Republican Party (Raleigh, N.C.)"	corporate					NCSU	ArchivesSpace		local					
St. Louis Cardinals (Baseball team)	corporate				http://lccn.loc.gov/n80004153	NCSU	ArchivesSpace		lcnaf					
United States. Americans with Disabilities Act of 1990	corporate				https://lccn.loc.gov/no90020566	NCSU	ArchivesSpace		lcnaf					
United States. Servicemen's Readjustment Act of 1944	corporate				https://lccn.loc.gov/no2010112216	NCSU	ArchivesSpace		lcnaf					
Yellowstone National Park (Agency : U.S.) -- History -- 19th century	corporate					NCSU	ArchivesSpace		lcnaf					
Research Triangle Institute	corporate				http://lccn.loc.gov/n78081232	NCSU	ArchivesSpace		lcnaf					
North Carolina State College. Department of Agricultural Economics -- Faculty	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. Department of English -- Faculty	corporate					NCSU	ArchivesSpace		local					
American Hemerocallis Society	corporate				http://lccn.loc.gov/n82087194	NCSU	ArchivesSpace		lcnaf					
North Carolina Literary Hall of Fame	corporate				https://lccn.loc.gov/no2014139813	NCSU	ArchivesSpace		lcnaf					
Princeton University. University Archives	corporate					NCSU	ArchivesSpace		local					
Raleigh Chamber Music Guild	corporate					NCSU	ArchivesSpace		local					
"Biberstein, Bowles and Meacham"	corporate					NCSU	ArchivesSpace		local					
Carolinas Speech Communication Association	corporate					NCSU	ArchivesSpace		local					
Society for Technical Communication	corporate				http://lccn.loc.gov/n80050733	NCSU	ArchivesSpace		lcnaf					
Bookworm & Silverfish	corporate					NCSU	ArchivesSpace		local					
North Carolina State Wolfpack (Basketball team)	corporate				http://lccn.loc.gov/n90645950	NCSU	ArchivesSpace		lcnaf					
Greenways Project Survey	corporate					NCSU	ArchivesSpace		local					
"Higgins, Frankstone, Graves & Morris, PA"	corporate					NCSU	ArchivesSpace		local					
Iredell County Public Library	corporate					NCSU	ArchivesSpace		local					
Greenways Advisory Panel	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Department of Entomology -- Drawings	corporate					NCSU	ArchivesSpace		lcnaf					
"United States. Weather Bureau. Raleigh Station (Raleigh, N.C.)"	corporate					NCSU	ArchivesSpace		local					
Council Tool Company	corporate					NCSU	ArchivesSpace		local					
Estate of Chester J. Lange	corporate					NCSU	ArchivesSpace		local					
Estate of George M. Smart	corporate					NCSU	ArchivesSpace		local					
North Carolina State Wolfpack (Football team)	corporate				http://lccn.loc.gov/n90645945	NCSU	ArchivesSpace		lcnaf					
Edenton Cotton Mill	corporate					NCSU	ArchivesSpace		local					
Southeastern Council of Foundations	corporate				http://lccn.loc.gov/n78000607	NCSU	ArchivesSpace		lcnaf					
Calada News Gathering Services	corporate					NCSU	ArchivesSpace		local					
Glaxo Wellcome	corporate				http://lccn.loc.gov/n97800313	NCSU	ArchivesSpace		lcnaf					
United States Civil Service Commission	corporate				http://lccn.loc.gov/n79045547	NCSU	ArchivesSpace		lcnaf					
University of Alabama	corporate				http://lccn.loc.gov/n79139264	NCSU	ArchivesSpace		lcnaf					
"North Carolina State College -- Students -- Notebooks, sketchbooks, etc."	corporate					NCSU	ArchivesSpace		local					
Super-Ananias Fishing Club	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. Visual Aids Department	corporate					NCSU	ArchivesSpace		local					
North Carolina Farmers' and Farm Women's Convention	corporate					NCSU	ArchivesSpace		local					
North Carolina Sports Hall of Fame	corporate				https://lccn.loc.gov/no2013097975	NCSU	ArchivesSpace		lcnaf					
American Football Coaches Association	corporate				http://lccn.loc.gov/n81070672	NCSU	ArchivesSpace		lcnaf					
North Carolina College of Agriculture and Mechanic Arts. Social Studies Department	corporate					NCSU	ArchivesSpace		local					
"AAA Silk Laboratory (New York, N.Y.)"	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. Student Judicial Board	corporate					NCSU	ArchivesSpace		local					
"North Carolina State College -- Societies, etc."	corporate					NCSU	ArchivesSpace		lcnaf					
Carolina Coach Company	corporate					NCSU	ArchivesSpace		local					
North Carolina. General Statutes Commission	corporate				http://lccn.loc.gov/n87916253	NCSU	ArchivesSpace		lcnaf					
North Carolina State College. Athletic Association	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. College of Agriculture and Life Sciences -- Faculty -- History	corporate					NCSU	ArchivesSpace		lcnaf					
North Carolina State College -- Sports	corporate					NCSU	ArchivesSpace		lcnaf					
Bensen Aircraft Corporation	corporate				http://lccn.loc.gov/no2001076548	NCSU	ArchivesSpace		lcnaf					
All American Engineering Company	corporate					NCSU	ArchivesSpace		local					
National Aeronautic Association (U.S.)	corporate				http://lccn.loc.gov/n84220184	NCSU	ArchivesSpace		lcnaf					
Aerospace Industries Association of America	corporate				http://lccn.loc.gov/n50054691	NCSU	ArchivesSpace		lcnaf					
"Doman Helicopters, Inc."	corporate					NCSU	ArchivesSpace		local					
"North Carolina State College -- Anniversaries, etc."	corporate					NCSU	ArchivesSpace		local					
North Carolina State College. Department of Electrical Engineering	corporate					NCSU	ArchivesSpace		local					
Iowa State University	corporate				https://lccn.loc.gov/n81041658	NCSU	ArchivesSpace		lcnaf					
North Carolina State College -- Commencement ceremonies	corporate					NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Libraries. Finance & Business Department	corporate					NCSU	ArchivesSpace		local					
"Mountain Research Station (Waynesville, N.C.)"	corporate					NCSU	ArchivesSpace		local					
First Citizens Bank	corporate				http://lccn.loc.gov/no2014099185	NCSU	ArchivesSpace		lcnaf					
National Inventors Hall of Fame (U.S.)	corporate				http://lccn.loc.gov/n84053264	NCSU	ArchivesSpace		lcnaf					
Peck-Hammond Company	corporate					NCSU	ArchivesSpace		local					
Moncrief Carter Furnace Company	corporate					NCSU	ArchivesSpace		local					
United States. Federal Aviation Administration -- Officials and employees	corporate					NCSU	ArchivesSpace		lcnaf					
North Carolina. Governor (1969-1973 : Scott)	corporate				http://lccn.loc.gov/n98036871	NCSU	ArchivesSpace		lcnaf					
"Presbyterian Hospital (Charlotte, N.C.)"	corporate				http://lccn.loc.gov/n91103017	NCSU	ArchivesSpace		lcnaf					
Citizens for Ramsey Clark	corporate					NCSU	ArchivesSpace		local					
United States. Education Professions Development Act of 1967	corporate					NCSU	ArchivesSpace		local					
American Society of Agricultural Engineers	corporate				http://lccn.loc.gov/n79045442	NCSU	ArchivesSpace		lcnaf					
North Carolina State University -- Employees	corporate					NCSU	ArchivesSpace		lcnaf					
North Carolina State University -- Graduate students	corporate					NCSU	ArchivesSpace		lcnaf					
Shaw University	corporate				http://lccn.loc.gov/n83178164	NCSU	ArchivesSpace		lcnaf					
Kronos Quartet	corporate				http://lccn.loc.gov/n80055753	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Department of Registration and Records	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. College of Physical and Mathematical Sciences -- Faculty	corporate					NCSU	ArchivesSpace		lcnaf					
Southern Intercollegiate Conference	corporate				http://lccn.loc.gov/no2005120389	NCSU	ArchivesSpace		lcnaf					
Association for Intercollegiate Athletics for Women	corporate				http://lccn.loc.gov/n50054591	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Media Relations	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Division of Undergraduate Academic Programs	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State Grange. Black River Grange	corporate					NCSU	ArchivesSpace		local					
Preservation North Carolina (Organization)	corporate				http://lccn.loc.gov/n88088753	NCSU	ArchivesSpace		lcnaf					
North Carolina State College. School of Physical Science and Applied Mathematics	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. College of Physical and Mathematical Sciences. Advisory Council	corporate					NCSU	ArchivesSpace		local					
North Carolina Sudan Shrine Temple	corporate					NCSU	ArchivesSpace		local					
North Carolina State College -- Songs and music	corporate					NCSU	ArchivesSpace		local					
North Carolina College of Agriculture and Mechanic Arts. Class of 1904	corporate					NCSU	ArchivesSpace							
North Carolina State University. Soil Science Department	corporate				http://lccn.loc.gov/n81079039	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Institute of Statistics	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Department of Biology	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State Grange	corporate				http://lccn.loc.gov/n98070154	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Department of Agronomy	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State College. Department of Agronomy	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Student Organization Resource Center	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Office of the Vice Provost for Academic Affairs	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Fort Bragg Program	corporate					NCSU	ArchivesSpace		ingest					
United States. National Aeronautics and Space Administration	corporate				http://lccn.loc.gov/n78087581	NCSU	ArchivesSpace		lcnaf					
United States. Navy	corporate				http://lccn.loc.gov/n79059051	NCSU	ArchivesSpace		lcnaf					
"North Carolina. Department of Environment, Health, and Natural Resources"	corporate				http://lccn.loc.gov/n88214997	NCSU	ArchivesSpace		lcnaf					
United States. Department of Education	corporate				http://lccn.loc.gov/n78009820	NCSU	ArchivesSpace		lcnaf					
"North Carolina State University. Department of Microbiology, Pathology & Parasitology"	corporate					NCSU	ArchivesSpace		ingest					
Burlington Furniture Company	corporate					NCSU	ArchivesSpace		local					
Abbott Laboratories	corporate				http://lccn.loc.gov/n50057199	NCSU	ArchivesSpace		lcnaf					
4-H Youth Development Program (U.S.)	corporate				https://lccn.loc.gov/no2008105000	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Department of 4-H Youth Development	corporate				http://lccn.loc.gov/no2007073379	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Agronomy Club	corporate					NCSU	ArchivesSpace		ingest					
Baltimore Orioles (Baseball team)	corporate				http://lccn.loc.gov/n79151564	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Division of Student Affairs. Student Media Authority	corporate					NCSU	ArchivesSpace		local					
"Hope Valley, Incorporated"	corporate					NCSU	ArchivesSpace		local					
Entomological Society of America. Southeastern Branch	corporate				http://lccn.loc.gov/n83001261	NCSU	ArchivesSpace		lcnaf					
North Carolina State College. Department of Experimental Statistics	corporate					NCSU	ArchivesSpace		local					
Georgia-Pacific Corporation. Williams Furniture Division	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Office of Information Technology	corporate					NCSU	ArchivesSpace		local					
