name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Cole, James William"	personal					ECU	ArchivesSpace	PersonCreator
"Coles, James R."	personal					ECU	ArchivesSpace	PersonCreator
"Collidge, McCabe"	personal					ECU	ArchivesSpace	PersonCreator
"Collins, A. M."	personal					ECU	ArchivesSpace	PersonCreator
"Collins, Donald E., Dr."	personal					ECU	ArchivesSpace	PersonCreator
"Collins, Douglas"	personal					ECU	ArchivesSpace	PersonCreator
"Colona, Mary P."	personal					ECU	ArchivesSpace	PersonCreator
"Commander, Richard"	personal					ECU	ArchivesSpace	PersonCreator
"Conger, Henry Jackson"	personal					ECU	ArchivesSpace	PersonCreator
"Congleton, Abraham"	personal					ECU	ArchivesSpace	PersonCreator
"Congleton, Jennie Whitley"	personal					ECU	ArchivesSpace	PersonCreator
"Contreras, Ricardo, Dr."	personal					ECU	ArchivesSpace	PersonCreator
"Coon, Robert S."	personal					ECU	ArchivesSpace	PersonCreator
"Coon, Thomas F."	personal					ECU	ArchivesSpace	PersonCreator
"Cooper, Kate Wheeler"	personal					ECU	ArchivesSpace	PersonCreator
"Cooper, Lewis G."	personal					ECU	ArchivesSpace	PersonCreator
"Cooperider, John E."	personal					ECU	ArchivesSpace	PersonCreator
"Cope, Edward F."	personal					ECU	ArchivesSpace	PersonCreator
"Copland, Aaron"	personal					ECU	ArchivesSpace	PersonCreator
"Corbett, Karen"	personal					ECU	ArchivesSpace	PersonCreator
"Corbin, Henry, d. 1864"	personal					ECU	ArchivesSpace	PersonCreator
"Corbitt, David Leroy, 1895-1967"	personal					ECU	ArchivesSpace	PersonCreator
"Core, George"	personal					ECU	ArchivesSpace	PersonCreator
"Cornell, Jacob Bell"	personal					ECU	ArchivesSpace	PersonCreator
"Costagliola, Francesco"	personal					ECU	ArchivesSpace	PersonCreator
"Cottman, Mary"	personal					ECU	ArchivesSpace	PersonCreator
"Courtice, George"	personal					ECU	ArchivesSpace	PersonCreator
"Coward, Jan Sellers"	personal					ECU	ArchivesSpace	PersonCreator
"Cox, James K."	personal					ECU	ArchivesSpace	PersonCreator
